x/d,Reb,Prb,Bo,Cp_bar/Cpb,Dens_w/Dens_b,Nu
2.51953125,3586.124684,2.71988434,3.00E-06,2.577035265,0.310357865,34.78876536
2.55859375,3587.001259,2.720708263,3.00E-06,2.57145366,0.309907004,34.69919788
2.59765625,3587.876158,2.721529074,3.00E-06,2.566032274,0.309467674,34.60647372
2.63671875,3588.749109,2.72234686,3.00E-06,2.560751467,0.309038308,34.51832983
2.67578125,3589.621046,2.723163952,3.00E-06,2.555600826,0.308618312,34.43594268
2.71484375,3590.493252,2.723983193,3.00E-06,2.550562225,0.308206383,34.36179463
2.75390625,3591.366558,2.724806178,3.00E-06,2.545644532,0.307803637,34.28511661
2.79296875,3592.241357,2.725633187,3.00E-06,2.540875644,0.307412918,34.20840713
2.83203125,3593.117823,2.726464052,3.00E-06,2.536278504,0.307036617,34.13415525
2.87109375,3593.996924,2.727299618,3.00E-06,2.531840776,0.306673859,34.06724819
2.91015625,3594.879967,2.728140983,3.00E-06,2.527523334,0.306321178,33.99813829
2.94921875,3595.766731,2.728987102,3.00E-06,2.52328908,0.305975067,33.92727856
2.98828125,3596.655549,2.729835082,3.00E-06,2.519114924,0.305633171,33.86083533
3.02734375,3597.545355,2.730683165,3.00E-06,2.514904267,0.305316498,33.79597472
3.06640625,3598.436331,2.731531589,3.00E-06,2.510674338,0.30502364,33.72756479
3.10546875,3599.328254,2.732379737,3.00E-06,2.506527686,0.304736293,33.64783392
3.14453125,3600.21922,2.733223971,3.00E-06,2.502459375,0.304453864,33.56958901
3.18359375,3601.106848,2.734059866,3.00E-06,2.498438824,0.30417352,33.49572661
3.22265625,3601.990529,2.734886206,3.00E-06,2.494455915,0.303894351,33.42259234
3.26171875,3602.870632,2.735704375,3.00E-06,2.490528948,0.303618049,33.35001893
3.30078125,3603.747028,2.73651553,3.00E-06,2.486677256,0.303346406,33.28046466
3.33984375,3604.620844,2.73732153,3.00E-06,2.482907863,0.303080234,33.21155968
3.37890625,3605.494109,2.738124975,3.00E-06,2.479211745,0.302819017,33.14581582
3.41796875,3606.367007,2.738927194,3.00E-06,2.475574651,0.302561681,33.08472455
3.45703125,3607.239949,2.739730242,3.00E-06,2.471972899,0.302306363,33.02569057
3.49609375,3608.11435,2.740536527,3.00E-06,2.468387726,0.302051623,32.96503546
3.53515625,3608.989546,2.741345249,3.00E-06,2.464812202,0.301796806,32.90071978
3.57421875,3609.86397,2.742154785,3.00E-06,2.461249029,0.301542035,32.83289095
3.61328125,3610.738177,2.742966605,3.00E-06,2.457708278,0.301288318,32.76140043
3.65234375,3611.612303,2.743781832,3.00E-06,2.454203402,0.301036954,32.68714627
3.69140625,3612.486428,2.744600541,3.00E-06,2.450733654,0.300787913,32.61139397
3.73046875,3613.360584,2.745422266,3.00E-06,2.447293686,0.300540714,32.53644899
3.76953125,3614.234369,2.746246434,3.00E-06,2.443879524,0.30029498,32.46658994
3.80859375,3615.108327,2.747074348,3.00E-06,2.440504902,0.300052073,32.39789722
3.84765625,3615.984143,2.747908788,3.00E-06,2.437172203,0.299812451,32.33206108
3.88671875,3616.861421,2.748748661,3.00E-06,2.433872163,0.29957523,32.27135966
3.92578125,3617.738621,2.749589421,3.00E-06,2.430595871,0.299339281,32.21275755
3.96484375,3618.616349,2.750429134,3.00E-06,2.427262348,0.299123965,32.1515136
4.00390625,3619.495557,2.751268364,3.00E-06,2.423943277,0.29891884,32.09034342
4.04296875,3620.37626,2.752107561,3.00E-06,2.420685257,0.298717784,32.02879549
4.08203125,3621.25755,2.752945972,3.00E-06,2.41750615,0.298522229,31.96720478
4.12109375,3622.128436,2.753873917,3.00E-06,2.41428984,0.298334975,31.90885472
4.16015625,3622.996217,2.754835923,3.00E-06,2.411122973,0.298155529,31.85482701
4.19921875,3623.866187,2.755800374,3.00E-06,2.408046406,0.297982904,31.80757317
4.23828125,3624.738461,2.756766682,3.00E-06,2.405042679,0.297815695,31.76422604
4.27734375,3625.612728,2.757733784,3.00E-06,2.402081461,0.297651383,31.72099296
4.31640625,3626.489858,2.758703054,3.00E-06,2.399134826,0.297487814,31.67673639
4.35546875,3627.371351,2.759676111,3.00E-06,2.396196987,0.297324651,31.63171385
4.39453125,3628.25728,2.760650829,3.00E-06,2.393264097,0.297161408,31.58650134
4.43359375,3629.145376,2.761621225,3.00E-06,2.390335958,0.296997585,31.54009025
4.47265625,3630.033443,2.762582876,3.00E-06,2.387416178,0.296833125,31.49114616
4.51171875,3630.920742,2.763536224,3.00E-06,2.384498597,0.296667548,31.43960963
4.55078125,3631.806889,2.764483944,3.00E-06,2.381574556,0.296500344,31.38808718
4.58984375,3632.692084,2.765429258,3.00E-06,2.378629687,0.29633056,31.33764608
4.62890625,3633.577367,2.766375921,3.00E-06,2.375655918,0.296157803,31.28323729
4.66796875,3634.463716,2.767327122,3.00E-06,2.372655459,0.295982493,31.22641821
4.70703125,3635.352923,2.76828616,3.00E-06,2.36963544,0.295805481,31.1740761
4.74609375,3636.247197,2.769255207,3.00E-06,2.366598906,0.295627187,31.12648495
4.78515625,3637.145366,2.770230249,3.00E-06,2.363551488,0.295447747,31.08240694
