x/d,Reb,Prb,Bo,Cp_bar/Cpb,Dens_w/Dens_b,Nu
1.58203125,3565.120089,2.69993189,3e-06,2.776665724,0.32967842,0.0
1.62109375,3565.9933090000004,2.700759417,3e-06,2.764649378,0.328427597,0.0
1.66015625,3566.866731,2.701588848,3e-06,2.7530685210000003,0.327206418,0.0
1.69921875,3567.740704,2.70242062,3e-06,2.7419115410000003,0.326015309,0.0
1.73828125,3568.6153299999996,2.703254448,3e-06,2.7311733080000002,0.32485531100000004,0.0
1.77734375,3569.4904030000002,2.704089331,3e-06,2.720859204,0.32372859,0.0
1.81640625,3570.365518,2.70492406,3e-06,2.71097077,0.322636863,0.0
1.85546875,3571.2403289999997,2.705757845,3e-06,2.701493848,0.321580007,0.0
1.89453125,3572.1146320000003,2.70659052,3e-06,2.69189432,0.320658131,0.0
1.93359375,3572.988474,2.7074224669999998,3e-06,2.6825003069999998,0.319810307,0.0
1.97265625,3573.861998,2.70825409,3e-06,2.6735358959999997,0.318994837,0.0
2.01171875,3574.7352539999997,2.709085444,3e-06,2.664981027,0.318210946,0.0
2.05078125,3575.608235,2.70991637,3e-06,2.65681857,0.317458026,0.0
2.08984375,3576.4812850000003,2.7107471089999997,3e-06,2.649022048,0.316734462,0.0
2.12890625,3577.3550170000003,2.7115783380000003,3e-06,2.641519154,0.316033892,0.0
2.16796875,3578.2297759999997,2.7124105039999997,3e-06,2.63425907,0.31535185600000004,0.0
2.20703125,3579.105604,2.7132436710000003,3e-06,2.6272555840000003,0.314690357,0.0
2.24609375,3579.982529,2.7140777989999996,3e-06,2.620507088,0.314049823,0.0
2.28515625,3580.8603829999997,2.7149124110000002,3e-06,2.613968406,0.313426058,0.0
2.32421875,3581.738643,2.715746268,3e-06,2.607629658,0.312818386,0.0
2.36328125,3582.616682,2.716577933,3e-06,2.60119417,0.312293396,0.0
2.40234375,3583.494101,2.7174067660000003,3e-06,2.594899385,0.311792116,0.0
2.44140625,3584.370936,2.7182333560000003,3e-06,2.588763272,0.311301173,0.0
2.48046875,3585.247697,2.719059019,3e-06,2.582799633,0.310822169,0.0
2.51953125,3586.1246840000003,2.71988434,3e-06,2.577035265,0.310357865,0.0
2.55859375,3587.0012590000006,2.720708263,3e-06,2.57145366,0.309907004,0.0
2.59765625,3587.876158,2.7215290739999998,3e-06,2.566032274,0.30946767399999997,0.0
2.63671875,3588.7491090000003,2.72234686,3e-06,2.560751467,0.309038308,0.0
2.67578125,3589.621046,2.7231639519999997,3e-06,2.555600826,0.308618312,0.0
2.71484375,3590.493252,2.723983193,3e-06,2.550562225,0.30820638300000003,0.0
2.75390625,3591.3665579999997,2.724806178,3e-06,2.545644532,0.307803637,0.0
2.79296875,3592.241357,2.7256331869999997,3e-06,2.540875644,0.30741291800000003,0.0
