StopID,Days,Hours,Predict,Target,APE
21,2,4,2985.29,2992,0.002242
22,2,4,3058.33,3071,0.004126
0,2,8,201.23,211,0.046298
1,2,8,331.64,360,0.07877
2,2,8,502.91,530,0.051106
4,2,8,595.08,620,0.040195
5,2,8,712.79,741,0.038065
6,2,8,790.24,820,0.036293
7,2,8,953.71,991,0.037629
8,2,8,1038.77,1081,0.039067
9,2,8,1220.85,1281,0.046952
11,2,8,1318.41,1381,0.045319
12,2,8,1345.55,1421,0.0531
13,2,8,1520.48,1601,0.050293
14,2,9,1654.01,1732,0.045028
16,2,9,1784.31,1871,0.046334
17,2,9,1925.31,2017,0.045459
18,2,9,2046.23,2140,0.043819
19,2,9,2175.86,2262,0.03808
20,2,9,2485.22,2572,0.03374
21,2,9,2691.63,2782,0.032485
22,2,9,2775.2,2872,0.033704
0,2,13,199.16,190,0.0482
1,2,13,410.62,390,0.052867
2,2,13,523.41,490,0.068188
3,2,13,723.62,660,0.096388
4,2,13,815.68,740,0.102264
5,2,13,911.64,830,0.098359
6,2,13,973.5,890,0.093823
7,2,13,1110.81,1020,0.089033
8,2,13,1192.56,1100,0.084148
9,2,13,1383.58,1310,0.056165
11,2,13,1500.95,1430,0.049616
13,2,13,1610.83,1544,0.043285
14,2,13,1732.44,1664,0.041132
15,2,13,1808.99,1724,0.049298
16,2,13,1924.98,1824,0.055364
17,2,13,2068.85,1963,0.053923
18,2,13,2194.92,2104,0.043211
19,2,14,2304.68,2204,0.045681
20,2,14,2677.12,2590,0.033638
21,2,14,2873.18,2757,0.042139
22,2,14,2939.16,2824,0.040779
0,3,4,192.93,180,0.071826
1,3,4,375.64,390,0.036818
2,3,4,551.38,560,0.015385
3,3,4,735.53,750,0.019291
4,3,4,848.73,860,0.0131
5,3,4,943.12,950,0.00724
6,3,4,1043.68,1050,0.006022
7,3,4,1188.61,1201,0.010317
8,3,5,1261.1,1270,0.007008
9,3,5,1469.51,1480,0.007086
11,3,5,1555.64,1568,0.007883
12,3,5,1583.06,1601,0.011206
13,3,5,1811.91,1810,0.001057
14,3,5,1995.53,1990,0.00278
15,3,5,2061.19,2060,0.000576
16,3,5,2174.05,2168,0.00279
17,3,5,2280.79,2270,0.004755
18,3,5,2378.58,2361,0.007445
19,3,5,2501.07,2471,0.01217
20,3,5,2713.38,2691,0.008317
21,3,5,2862.76,2831,0.011219
22,3,5,2918.09,2911,0.002436
0,3,9,120.05,110,0.091347
1,3,9,345.62,330,0.047338
2,3,10,476.86,460,0.036648
4,3,10,535.21,510,0.049428
5,3,10,616.76,585,0.054298
6,3,10,676.13,644,0.049896
7,3,10,876.88,837,0.047641
8,3,10,942.58,900,0.047306
9,3,10,1086.53,1070,0.015447
11,3,10,1205.89,1190,0.013354
12,3,10,1240.98,1230,0.00893
14,3,10,1373.28,1350,0.017244
15,3,10,1434.88,1410,0.017646
16,3,10,1559.33,1520,0.025873
17,3,10,1668.24,1630,0.02346
18,3,10,1786.75,1747,0.022753
19,3,10,1886.15,1840,0.025079
20,3,10,2177.78,2145,0.01528
21,3,10,2388.23,2340,0.020612
22,3,10,2455.48,2420,0.014661
0,4,3,99.31,90,0.10342
1,4,3,306.68,310,0.01071
2,4,3,470.28,480,0.020259
3,4,3,636.13,680,0.064519
4,4,3,684.84,730,0.061867
5,4,3,791.19,830,0.046763
6,4,3,870.33,910,0.043593
7,4,3,1048.88,1090,0.03772
8,4,3,1104.96,1149,0.03833
9,4,3,1219.2,1250,0.024642
10,4,3,1276.95,1310,0.025231
11,4,3,1377.69,1410,0.022912
13,4,3,1575.82,1615,0.024258
14,4,3,1794.21,1825,0.016871
