,StopID,Days,Hours,Predict,Target,APE
149,0,2,13,199.16,190,0.0482
150,1,2,13,410.62,390,0.052867
151,2,2,13,523.41,490,0.068188
152,3,2,13,723.62,660,0.096388
153,4,2,13,815.68,740,0.102264
154,5,2,13,911.64,830,0.098359
155,6,2,13,973.5,890,0.093823
156,7,2,13,1110.81,1020,0.089033
157,8,2,13,1192.56,1100,0.084148
158,9,2,13,1383.58,1310,0.056165
159,11,2,13,1500.95,1430,0.049616
160,13,2,13,1610.83,1544,0.043285000000000004
161,14,2,13,1732.44,1664,0.041132
162,15,2,13,1808.99,1724,0.049298
163,16,2,13,1924.98,1824,0.055364
164,17,2,13,2068.85,1963,0.053923
165,18,2,13,2194.92,2104,0.043211
166,19,2,14,2304.68,2204,0.045681
167,20,2,14,2677.12,2590,0.033638
168,21,2,14,2873.18,2757,0.042138999999999996
169,22,2,14,2939.16,2824,0.040779
170,0,3,4,192.93,180,0.071826
171,1,3,4,375.64,390,0.036818000000000004
172,2,3,4,551.38,560,0.015385
173,3,3,4,735.53,750,0.019291
174,4,3,4,848.73,860,0.0131
175,5,3,4,943.12,950,0.007240000000000001
176,6,3,4,1043.68,1050,0.006022
177,7,3,4,1188.61,1201,0.010317
178,8,3,5,1261.1,1270,0.0070079999999999995
179,9,3,5,1469.51,1480,0.007086
180,11,3,5,1555.64,1568,0.007883
181,12,3,5,1583.06,1601,0.011206
182,13,3,5,1811.91,1810,0.001057
183,14,3,5,1995.53,1990,0.00278
184,15,3,5,2061.19,2060,0.000576
185,16,3,5,2174.05,2168,0.00279
186,17,3,5,2280.79,2270,0.004755
187,18,3,5,2378.58,2361,0.007445
188,19,3,5,2501.07,2471,0.01217
189,20,3,5,2713.38,2691,0.008317
190,21,3,5,2862.76,2831,0.011219
191,22,3,5,2918.09,2911,0.002436
192,0,3,9,120.05,110,0.091347
193,1,3,9,345.62,330,0.047338
194,2,3,10,476.86,460,0.036648
195,4,3,10,535.21,510,0.049428
196,5,3,10,616.76,585,0.054298
197,6,3,10,676.13,644,0.049895999999999996
198,7,3,10,876.88,837,0.047641
199,8,3,10,942.58,900,0.047306
200,9,3,10,1086.53,1070,0.015447
201,11,3,10,1205.89,1190,0.013354
202,12,3,10,1240.98,1230,0.00893
203,14,3,10,1373.28,1350,0.017244
204,15,3,10,1434.88,1410,0.017646000000000002
205,16,3,10,1559.33,1520,0.025873
206,17,3,10,1668.24,1630,0.023459999999999998
207,18,3,10,1786.75,1747,0.022753
208,19,3,10,1886.15,1840,0.025079
209,20,3,10,2177.78,2145,0.015280000000000002
210,21,3,10,2388.23,2340,0.020612000000000002
211,22,3,10,2455.48,2420,0.014661000000000002
212,0,4,3,99.31,90,0.10342
213,1,4,3,306.68,310,0.010709999999999999
214,2,4,3,470.28,480,0.020259
215,3,4,3,636.13,680,0.064519
